Date,BWI,DTW,JFK,SFO,SLC,IAH,IAD,MCO,DFW
192,7.5,5.1,11.4,15.5,8,5.5,6.1,7.2,9.2
193,5.3,11.1,14.5,12.3,4.9,5.7,6.3,7.4,8
194,5.2,7.4,12.9,12.4,6.5,6.1,3.7,5.5,9.6
195,3.5,5.3,8.7,13.7,6.6,5,4.5,6.2,9.1
196,3.8,3.4,10,6.7,6.5,7.2,5,5.8,13.4
197,3.2,5.6,7.3,6.2,5,7,3.6,5.1,14.8
198,8.2,4.7,9.2,8.7,4.9,5.8,8.4,5.6,9.4
199,5.7,5.3,9.6,8.1,9.8,6.1,6.9,6.5,8.4
200,3.8,7.5,4.9,6.5,6.4,6.2,3.7,6.6,10.4
201,3.4,8.4,9.2,10,5.1,5.5,3.8,6.3,9.2
202,6.4,7.8,9.9,12.7,6.2,6.5,4.8,5,8.4
203,3.8,4.7,7.8,10.6,5.6,7.8,3.3,7.2,7.8
204,4.1,7.6,6.3,8.5,9.1,5.8,4.1,6.3,6.5
205,3.8,5.2,10,8,10.6,5.9,2.6,5.7,8.3
206,4.3,4.7,6.1,13.2,9.9,10.5,3.3,8,8.1
207,2.1,3,5.3,6,7.2,13.2,1.1,7.4,9.9
208,5.6,7.1,10.9,8.6,6.5,9.4,4.3,5.4,6.8
209,6.2,9.9,10.5,12.7,4.6,5.9,3.6,5.4,7.4
210,7,8.2,11.2,13.6,7.4,4.1,4.8,3.6,6.3
211,5,7.1,7.6,12,6.3,4.3,3.5,3.3,7.8
212,4.3,4.6,9,13.1,5.3,5.4,3.4,3.8,12.9
213,3.2,6.4,6.8,12.4,7.8,7.1,3.2,4,9.7
214,3.2,4.8,5.4,11.5,7,4.6,3.1,5.7,5.9
215,6.4,8.3,12.5,11.5,7.3,2.5,8.2,11,5.1
216,4.4,4.9,12.3,14.4,8.7,3.2,4.6,10,5.6
217,6.4,9.4,16.2,14,5.6,5.8,6.9,3.8,6
218,3.1,6,9,16.9,5.7,3.6,4.1,3.5,8.1
219,5.9,3.3,5.2,11.3,12.5,5.1,3.6,2,9.1
220,3.2,3.2,5.6,8.1,9.7,4.6,4.2,3.7,12.1
